round,outcome,bet_type,bet_target,amount,win,payout,bankroll
286,30,red,red,20,True,20,480
287,22,red,red,20,False,-20,460
288,3,red,red,20,True,20,480
289,3,red,red,20,True,20,500
290,34,red,red,20,True,20,520
291,12,red,red,20,True,20,540
292,8,red,red,20,False,-20,520
293,33,red,red,20,False,-20,500
294,2,red,red,20,False,-20,480
295,28,red,red,20,False,-20,460
296,11,red,red,20,False,-20,440
297,20,red,red,20,False,-20,420
298,25,red,red,20,True,20,440
299,14,red,red,20,True,20,460
300,9,red,red,20,True,20,480
301,17,red,red,20,False,-20,460
302,11,red,red,20,False,-20,440
303,13,red,red,20,False,-20,420
304,15,red,red,20,False,-20,400
305,00,red,red,20,False,-20,380
306,6,red,red,20,False,-20,360
307,1,red,red,20,True,20,380
308,11,red,red,20,False,-20,360
309,12,red,red,20,True,20,380
310,17,red,red,20,False,-20,360
311,10,red,red,20,False,-20,340
312,29,red,red,20,False,-20,320
313,25,red,red,20,True,20,340
314,11,red,red,20,False,-20,320
315,4,red,red,20,False,-20,300
316,27,red,red,20,True,20,320
317,29,red,red,20,False,-20,300
318,6,red,red,20,False,-20,280
319,11,red,red,20,False,-20,260
320,8,red,red,20,False,-20,240
321,15,red,red,20,False,-20,220
322,25,red,red,20,True,20,240
323,8,red,red,20,False,-20,220
324,23,red,red,20,True,20,240
325,29,red,red,20,False,-20,220
326,14,red,red,20,True,20,240
327,7,red,red,20,True,20,260
328,13,red,red,20,False,-20,240
329,0,red,red,20,False,-20,220
330,34,red,red,20,True,20,240
331,27,red,red,20,True,20,260
332,00,red,red,20,False,-20,240
333,00,red,red,20,False,-20,220
334,9,red,red,20,True,20,240
335,8,red,red,20,False,-20,220
336,12,red,red,20,True,20,240
337,11,red,red,20,False,-20,220
338,20,red,red,20,False,-20,200
339,16,red,red,20,True,20,220
340,20,red,red,20,False,-20,200
341,13,red,red,20,False,-20,180
342,11,red,red,20,False,-20,160
343,22,red,red,20,False,-20,140
344,6,red,red,20,False,-20,120
345,28,red,red,20,False,-20,100
346,29,red,red,20,False,-20,80
347,36,red,red,20,True,20,100
348,27,red,red,20,True,20,120
349,25,red,red,20,True,20,140
350,9,red,red,20,True,20,160
351,00,red,red,20,False,-20,140
352,8,red,red,20,False,-20,120
353,1,red,red,20,True,20,140
354,27,red,red,20,True,20,160
355,32,red,red,20,True,20,180
356,3,red,red,20,True,20,200
357,33,red,red,20,False,-20,180
358,33,red,red,20,False,-20,160
359,32,red,red,20,True,20,180
360,21,red,red,20,True,20,200
361,30,red,red,20,True,20,220
362,33,red,red,20,False,-20,200
363,32,red,red,20,True,20,220
364,23,red,red,20,True,20,240
365,5,red,red,20,True,20,260
366,0,red,red,20,False,-20,240
367,20,red,red,20,False,-20,220
368,30,red,red,20,True,20,240
369,4,red,red,20,False,-20,220
370,34,red,red,20,True,20,240
371,32,red,red,20,True,20,260
372,27,red,red,20,True,20,280
373,26,red,red,20,False,-20,260
374,14,red,red,20,True,20,280
375,11,red,red,20,False,-20,260
376,7,red,red,20,True,20,280
377,14,red,red,20,True,20,300
378,4,red,red,20,False,-20,280
379,15,red,red,20,False,-20,260
380,13,red,red,20,False,-20,240
381,20,red,red,20,False,-20,220
382,6,red,red,20,False,-20,200
383,8,red,red,20,False,-20,180
384,8,red,red,20,False,-20,160
385,7,red,red,20,True,20,180
386,21,red,red,20,True,20,200
387,3,red,red,20,True,20,220
388,1,red,red,20,True,20,240
389,31,red,red,20,False,-20,220
390,29,red,red,20,False,-20,200
391,1,red,red,20,True,20,220
392,34,red,red,20,True,20,240
393,9,red,red,20,True,20,260
394,15,red,red,20,False,-20,240
395,30,red,red,20,True,20,260
396,29,red,red,20,False,-20,240
397,30,red,red,20,True,20,260
398,15,red,red,20,False,-20,240
